Hotel Name,Price,Rating
 , , 
**************************************************,CHENNAI,********
 , , 
Ginger Chennai,2238,3.7 
Ginger Chennai-Vadapalani,2453,3.7 
Hilton Chennai,3149,4.5 
Holiday Inn Express Chennai OMR Thoraipakkam,1499,3.9 
ITC Grand Chola - A Luxury Collection Hotel,4275,4.4 
Vivanta Chennai IT Expressway OMR,2350,4.3 
Radisson Blu Hotel Chennai City Centre,4090,4.5 
Somerset Greenways,4080,4.5 
Grand Chennai by GRT Hotels,3800,4.7 
Taj Club House,2900,4.4 
The Accord Metropolitan,3261,4.4 
The Park Chennai,4483,4 
"Zone By The Park, ORR Chennai",2749,4.3 
Ibis Chennai OMR - An Accor Brand,1799,4.5 
Hyatt Regency Chennai,3749,4.4 
Hotel Pandian,1248,4 
Hotel Savera,2389,4.2 
Trident Chennai,4000,4.6 
Citadines OMRChennai,1875,4.5 
Hotel Southern Comfort ( Chennai Airport ),2056,4.1 
Oyo Home 41633 G-Cloud,1477,4.2 
Blossoms Apart Hotel T Nagar,2067,3.6 
CANYON SUN,1214,4.1 
Ramada Plaza,3239,4.8 
Park Elanza,2386,4.2 
Hotel Ashok Residency,1336,3.9 
OYO Townhouse 056 T Nagar Chennai,1791,4 
Four Points by Sheraton Chennai OMR,1749,4.2 
Holiday Inn Chennai OMR IT Expressway,2371,4.4 
OYO Townhouse 091 Nungambakkam,2220,4.1 
 , , 
**************************************************,BENGALURU,********
 , , 
Vividus,2621,4.4 
Lemon Tree Hotel Whitefield,1530,4.1 
Holiday Inn Express Bengaluru Yeshwantpur,1729,4 
Lemon Tree Premier Ulsoor Lake Bangalore,2026,4.3 
The Chancery,1688,4.2 
"Vivanta Bengaluru, Whitefield",2800,4.5 
Radisson Blu Atria Bengaluru,2516,4.4 
The Park Bangalore,2813,4.1 
"Howard Johnson by Wyndham, Hebbal",3524,4.3 
Nash Inn Electronic City,828,3.7 
YC Grand By Omatra,1320,4.4 
Radisson Bengaluru City Center,2969,4.6 
The Chancery Pavilion,2220,4.1 
Ibis Bengaluru City Centre,1949,4.1 
REGENTA PLACE BY ROYAL ORCHID HOTELS,1796,4 
"ITC Gardenia, A Luxury Collection Hotel",4500,4.7 
The Signature Inn,857,4.1 
Ramada Encore,1884,4.5 
Hyatt Centric MG Road Bangalore,3176,4.5 
Halcyon Bangalore,1938,3.8 
Hotel Aira,1123,4.2 
OYO 40271 Elegant Stays,1222,4 
Fortune Park JP Celestial-Member ITC Hotel Group,2060,4.3 
"ITC Windsor,A Luxury Collection Hotel",3835,4.4 
TS Royal Grand - Attibele Hosur,1290,4.4 
"The Fern Residency - Yeshwanthpur, Bengaluru",2107,4.1 
Conrad Bengaluru- Luxury by Hilton,4399,4.6 
Starlit Suites,2443,4.3 
Holiday Inn Express Bengaluru Whitefield ITPL,1639,4.1 
Welcomhotel Bengaluru - Member ITCHotel Group,2100,4.5 
 , , 
**************************************************,BENGALURU,********
 , , 
Vividus,2621,4.4 
Lemon Tree Hotel Whitefield,1530,4.1 
Holiday Inn Express Bengaluru Yeshwantpur,1729,4 
Lemon Tree Premier Ulsoor Lake Bangalore,2026,4.3 
The Chancery,1688,4.2 
"Vivanta Bengaluru, Whitefield",2800,4.5 
Radisson Blu Atria Bengaluru,2516,4.4 
The Park Bangalore,2813,4.1 
"Howard Johnson by Wyndham, Hebbal",3524,4.3 
Nash Inn Electronic City,828,3.7 
YC Grand By Omatra,1320,4.4 
Radisson Bengaluru City Center,2969,4.6 
The Chancery Pavilion,2220,4.1 
Ibis Bengaluru City Centre,1949,4.1 
REGENTA PLACE BY ROYAL ORCHID HOTELS,1796,4 
"ITC Gardenia, A Luxury Collection Hotel",4500,4.7 
The Signature Inn,857,4.1 
Ramada Encore,1884,4.5 
